gene_id	Col0_leaf	rdr2_leaf	drm_leaf	Col0_CC	rdr2_CC	drm_CC	Col0_ME	rdr2_ME	drm_ME
AT4G20170	23.0181	22.4486	19.7637	22.0588	40.801	57.3509	32.5507	26.8679	23.6742
AT5G35960	0.121712	0.189509	0.236411	0.874419	1.61179	2.73842	0.0640195	0.0	0.0
AT3G47780	0.503008	0.324667	0.667628	6.61671	12.1889	13.387	2.44002	2.97833	3.41675
AT4G18010	3.49419	3.29568	2.76148	16.648	30.6392	35.6637	35.9604	59.5426	46.7302
AT3G53180	10.4912	10.4101	10.3717	17.3947	32.009	38.1128	48.8423	68.2898	62.4711
AT1G63180	3.57942	3.79119	3.02787	19.3669	35.6317	40.9523	1.70178	2.30292	1.60352
AT5G50720	4.00591	4.69213	3.90191	47.2723	86.9437	119.588	1.0277	1.00904	0.285536
AT5G24110	3.60615	4.05323	3.04679	1.15349	2.1141	2.76174	108.7	112.101	99.8221
AT4G13830	41.7883	39.2739	46.8711	2.043	3.73901	4.59242	44.8924	52.5232	64.5327
AT3G17120	3.95923	4.36912	3.37197	14.9287	27.3105	31.643	1.50482	1.17465	0.949524
